,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,NAICS_CODE,NAICS_DESC,LEVEL,ENROLLMENT,START_GRAD,END_GRADE,FT_TEACHER,YEAR
344,01323337,ST JOSEPH CATHOLIC SCHOOL,2901 E RANCIER AVE,KILLEEN,TX,76543,1,1,80,BELL,48027,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,70,2,11,10,2009
345,A9904240,HOLY TRINITY CATHOLIC HIGH SCHOOL,6608 W ADAMS AVE,TEMPLE,TX,76502,1,1,106,BELL,48027,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,97,14,17,9,2009
346,01325957,ST LUKES EPISCOPAL SCHOOL,15 ST LUKES LN,SAN ANTONIO,TX,78209,1,1,194,BEXAR,48029,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,170,2,13,24,2010
347,01323654,ST JOSEPH ACADEMY,101 SAINT JOSEPH DR,BROWNSVILLE,TX,78520,1,1,477,CAMERON,48061,611110,ELEMENTARY AND SECONDARY SCHOOLS,2,441,12,17,36,2010
348,AA001188,PRINCE OF PEACE CHRISTIAN SCHOOL,4004 MIDWAY RD,CARROLLTON,TX,75007,1,1,798,COLLIN,48085,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,737,2,17,61,2009
349,01328572,WHITE ROCK MONTESSORI,1601 OATES DR,DALLAS,TX,75228,2,1,159,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,140,2,13,19,2010
350,02060567,FIREWHEEL CHRISTIAN ACADEMY,5500 LAVON DR,GARLAND,TX,75040,1,1,147,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,120,2,14,27,2010
351,01324341,ST PATRICK CATHOLIC SCHOOL,9635 FERNDALE RD,DALLAS,TX,75238,1,1,457,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,425,2,13,32,2010
352,AA890893,FAITH CHRISTIAN ACADEMY,8960 ESCOBAR DR,EL PASO,TX,79907,1,1,330,EL PASO,48141,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,306,2,17,24,2010
353,A0109435,MONTESSORI LEARNING COTTAGE,8644 BEVERLYHILL ST,HOUSTON,TX,77063,2,1,32,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,25,2,6,7,2010
354,K9305989,ARMAND BAYOU MONTESSORI,16204 HICKORY KNOLL DR,HOUSTON,TX,77059,2,1,60,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,42,2,10,18,2010
355,01325629,ST EDWARD CATHOLIC SCHOOL,2601 SPRING STUEBNER RD,SPRING,TX,77389,1,1,337,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,313,2,13,24,2010
356,BB081708,FAITH LUTHERAN DAY SCHOOL,4600 BELLAIRE BLVD,BELLAIRE,TX,77401,6,1,13,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,12,2,4,1,2009
370,01325232,ST JEROME CATHOLIC SCHOOL,8825 KEMPWOOD DR,HOUSTON,TX,77080,1,1,238,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,217,2,13,21,2009
371,01645423,CENTRAL CHRISTIAN ACADEMY,2217 BINGLE RD,HOUSTON,TX,77055,1,1,46,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,41,2,17,5,2009
372,01327025,TRINITY EPISCOPAL SCHOOL,2905 ROSBOROUGH SPRINGS RD,MARSHALL,TX,75672,1,1,170,HARRISON,48203,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,149,2,13,21,2009
373,01615523,CLEBURNE CHRISTIAN ACADEMY,1410 GLENHAVEN DR,CLEBURNE,TX,76033,1,1,38,JOHNSON,48251,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,32,2,12,6,2010
