Year,State,Agency ORI,Offense_Type_Violent_Crime_Record_Count,Offense_Type_Property_Crime_Record_Count
2012,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",7032,83543
2013,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",8892,80914
2014,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",7776,78330
2015,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",8652,74423
2016,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",10840,78627
2017,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",10824,74418
2018,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",9723,62105
2019,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",11107,68100
2020,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",11796,57923
2021,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",11300,61897
2022,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",13186,75169
2023,TX,"TX0570000, TX0080000, TXSPD0000, TX1130000",10509,81163
